No.,店舗名,電話番号,住所,定休日,ジャンル,座席・設備,営業時間,URL
66,リストランテカノビアーノ(RISTORANTECanovianoりすとらんてかのびあーの),050-5304-5546,東京都目黒区下目黒1-8-1,無休日によって貸切の場合あり,カフェ,66席（ホール席６６名/テラス席８名/個室１室(８名まで)）,[月~金]ランチ:11:30〜14:30LO14:30[月~金・土・日・祝]ディナー:17:30〜21:30LO21:30[土・日・祝]ランチ:11:30〜15:00LO15:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001336038/
67,ピッツェリア&トラットリアゴンゾー目黒店(ぴっつぇりああんどとらっとりあごんぞーめぐろてん),03-6721-6962,東京都品川区上大崎３-２-９アクア目黒１F,無休,カフェ,,[全日]11:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001506656/
68,ローカル(LocaleTokyo),03-6874-6719,東京都目黒区目黒１-１７-２２,毎週月曜日毎週火曜日,カフェ,,[水~金]ディナー:17:00〜23:00[土・日]ランチ:09:30〜14:00ディナー:18:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001384622/
69,AHILYA目黒店(アヒリヤメグロテン),03-6417-0876,東京都目黒区下目黒１-３-２８サンウッド目黒２F,無休5/1～5/5まで休業,カフェ,35席,[全日]ランチ:11:30〜15:00ディナー:17:30〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001403881/
70,ビストロトポロジー(Bistrotopology),03-6420-0136,東京都目黒区目黒１-２３-１５カスカ１F,毎週月曜日,カフェ,15席,※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001411612/
71,すし太(すした),03-3493-6757,東京都品川区上大崎２-２７-１,,カフェ,,,https://retty.me/area/PRE13/ARE13/SUB704/100001412740/
72,Laugh目黒店(らふめぐろてん),03-6303-0801,東京都目黒区下目黒３-４-３,7/12ー8/31まで酒類の提供中止、ディナー営業休業,カフェ,20席,月～日、祝日、祝前日:11:30～15:00（料理L.O.14:00ドリンクL.O.14:00）17:30～22:00（料理L.O.21:00ドリンクL.O.21:30）※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001585687/
73,焼肉ぽんがはなれ(やきにくぽんがはなれ),03-6450-2131,東京都品川区上大崎２-１４-９目黒東誠ビル２F,無休,カフェ,35席,[月~金]18:00〜24:00[土・日・祝]17:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001537093/
74,ビストロカニッシュ(BistroCaniche),03-6303-9287,東京都品川区上大崎２-１８-２５目黒三田フラワーマンション１F,不明,カフェ,22席,18:00～23:00LO※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001429896/
75,三代目だるま鮨(さんだいめだるまずし),03-3473-4715,東京都品川区上大崎２-１５-１９MG目黒駅前ビル２F,無休店休日はお店に確認,カフェ,48席,[火~金・土・日・祝]12:00〜23:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001508484/
76,クロデグルメ(ClosDesGourmets),050-5461-9086,東京都港区白金台３-１８-４２F,毎週日曜日年末年始12/31～1/6はお休みを頂戴します。,カフェ,12席（テーブル10席カウンター2席）,[月]ディナー:18:00〜24:00LO23:00[火~金・土・日・祝・祝前]ランチ:12:00〜15:00ランチはご予約のみの営業となっております。※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE14/SUB1404/100001519712/
77,だるまや不動前店(だるまやふどうまえてん),03-6712-2949,東京都目黒区下目黒３-８-１,不定休,カフェ,14席,[全日]18:00〜20:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001482347/
78,BarDove(バードーヴ),03-6417-4045,東京都品川区上大崎４-３-６同潤社ビル,毎週火曜日祝日,カフェ,,[月・水~金・土・日]15:00〜24:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001349540/
79,炉端と酒きいと(KIITOMEGUROろばたとさけきいと),03-6277-3337,東京都品川区上大崎２-１４-３B１F-D,毎週日曜日,カフェ,15席（カウンターと４名席テーブル）,[月~金・土・祝・祝前]17:00〜24:00※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001594676/
80,アルコザ・ガーデン(あるこざがーでん),050-3491-2359,東京都目黒区下目黒１-８-１アルコタワー内２F,毎週土曜日毎週日曜日,カフェ,,[月~金]09:30〜20:30※新型コロナウイルスの影響により、営業時間・定休日等が記載と異なる場合がございます。ご来店時は、事前に店舗へご確認をお願いします。,https://retty.me/area/PRE13/ARE13/SUB704/100001431521/
